                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.30719,                0.85504,                      1,                0.57409,             0.00023584,             0.00023584,             0.00023584
                      2,                0.09936,                0.86093,                      1,                0.53394,             0.00045038,             0.00045038,             0.00045038
                      3,                0.04376,                0.85136,                      1,                0.53007,             0.00064136,             0.00064136,             0.00064136
                      4,                0.02518,                0.87196,                      1,                0.51527,             0.00060797,             0.00060797,             0.00060797
                      5,                0.01824,                0.84695,                      1,                0.53121,             0.00060797,             0.00060797,             0.00060797
                      6,                0.01871,                0.88006,                      1,                0.50976,             0.00057263,             0.00057263,             0.00057263
                      7,                0.01585,                0.87417,                      1,                0.51449,             0.00053728,             0.00053728,             0.00053728
                      8,                0.01041,                0.87859,                      1,                0.50969,             0.00050194,             0.00050194,             0.00050194
                      9,                0.01167,                0.87859,                      1,                0.51033,              0.0004666,              0.0004666,              0.0004666
                     10,                0.00498,                0.88595,                      1,                0.50677,             0.00043126,             0.00043126,             0.00043126
                     11,                0.00362,                0.88668,                      1,                0.50544,             0.00039591,             0.00039591,             0.00039591
                     12,                0.00289,                0.88447,                      1,                0.50698,             0.00036057,             0.00036057,             0.00036057
                     13,                0.00298,                  0.883,                      1,                 0.5064,             0.00032523,             0.00032523,             0.00032523
                     14,                 0.0019,                0.89257,                      1,                0.50309,             0.00028988,             0.00028988,             0.00028988
                     15,                0.00113,                0.89036,                      1,                0.50256,             0.00025454,             0.00025454,             0.00025454
                     16,                  0.002,                0.89625,                      1,                0.50143,              0.0002192,              0.0002192,              0.0002192
                     17,                0.00177,                0.89698,                      1,                0.50128,             0.00018385,             0.00018385,             0.00018385
                     18,                0.00082,                0.89772,                      1,                0.50095,             0.00014851,             0.00014851,             0.00014851
                     19,                0.00116,                0.89845,                      1,                0.49989,             0.00011317,             0.00011317,             0.00011317
                     20,                0.00107,                0.89551,                      1,                 0.5018,             7.7826e-05,             7.7826e-05,             7.7826e-05
